"job","y","count","rate"
"admin.","yes",631,12.2026687294527
"blue-collar","yes",708,7.27496917385943
"entrepreneur","yes",123,8.27168796234028
"housemaid","yes",109,8.79032258064516
"management","yes",1301,13.7555508564178
"retired","yes",516,22.791519434629
"self-employed","yes",187,11.8429385687144
"services","yes",369,8.88300433317285
"student","yes",269,28.6780383795309
"technician","yes",840,11.0569961827037
"unemployed","yes",202,15.5026861089793
"unknown","yes",34,11.8055555555556
